Variedad,Ancho Est. P̩talo
Iris-setosa,-0.5004846495836347
Iris-setosa,-0.22624648542821843
Iris-setosa,-0.5004846495836347
Iris-setosa,-0.5004846495836347
Iris-setosa,-0.22624648542821843
Iris-setosa,-0.22624648542821843
Iris-setosa,-0.3633655675059266
Iris-setosa,-0.3633655675059266
Iris-setosa,-0.3633655675059266
Iris-setosa,-0.22624648542821843
Iris-setosa,-0.5004846495836347
Iris-setosa,-0.6376037316613429
Iris-setosa,-0.5004846495836347
Iris-setosa,-0.5004846495836347
Iris-setosa,-0.22624648542821843
Iris-setosa,-0.5004846495836347
Iris-setosa,-0.5004846495836347
Iris-virginica,2.653254238203652
Iris-virginica,2.241896991970528
Iris-virginica,1.9676588278151115
